"Rep","Year","sumPop"
0,0,6059
0,1,10306
0,2,9879
0,3,8650
0,4,7650
0,5,6631
0,6,5888
0,7,5292
0,8,4645
0,9,4192
0,10,3791
0,11,3434
0,12,3160
0,13,2863
0,14,2696
0,15,2375
0,16,2192
0,17,2122
0,18,1972
0,19,1763
0,20,1671
0,21,1569
0,22,1550
0,23,1381
0,24,1248
0,25,1190
0,26,1150
0,27,1063
0,28,1023
0,29,988
0,30,949
0,31,876
0,32,820
0,33,813
0,34,735
0,35,749
0,36,703
0,37,693
0,38,662
0,39,623
0,40,565
0,41,578
0,42,575
0,43,542
0,44,512
0,45,445
0,46,470
0,47,451
0,48,421
0,49,400
0,50,415
0,51,394
0,52,400
0,53,426
0,54,445
0,55,429
0,56,385
0,57,428
0,58,379
0,59,355
0,60,355
0,61,354
0,62,352
0,63,334
0,64,320
0,65,291
0,66,283
0,67,323
0,68,301
0,69,293
0,70,304
0,71,288
0,72,276
0,73,251
0,74,285
0,75,291
0,76,299
0,77,300
0,78,284
0,79,294
0,80,285
0,81,267
0,82,208
0,83,222
0,84,220
0,85,233
0,86,221
0,87,239
0,88,235
0,89,230
0,90,176
0,91,173
0,92,150
0,93,138
0,94,128
0,95,152
0,96,135
0,97,142
0,98,123
0,99,123
0,100,128
0,101,112
0,102,103
0,103,97
0,104,121
0,105,98
0,106,73
0,107,17
0,108,15
0,109,6
0,110,7
0,111,4
0,112,3
0,113,0
1,0,6059
1,1,10236
1,2,9666
1,3,8708
1,4,7616
1,5,6646
1,6,5676
1,7,5104
1,8,4448
1,9,4083
1,10,3606
1,11,3352
1,12,3081
1,13,2772
1,14,2601
1,15,2421
1,16,2242
1,17,2070
1,18,1979
1,19,1863
1,20,1757
1,21,1624
1,22,1441
1,23,1318
1,24,1230
1,25,1196
1,26,1241
1,27,1187
1,28,1117
1,29,1077
1,30,1017
1,31,968
1,32,972
1,33,892
1,34,813
1,35,795
1,36,716
1,37,656
1,38,667
1,39,626
1,40,583
1,41,565
1,42,550
1,43,480
1,44,483
1,45,435
1,46,435
1,47,413
1,48,398
1,49,401
1,50,401
1,51,398
1,52,420
1,53,428
1,54,434
1,55,399
1,56,449
1,57,441
1,58,414
1,59,403
1,60,407
1,61,396
1,62,421
1,63,375
1,64,315
1,65,279
1,66,258
1,67,279
1,68,250
1,69,243
1,70,256
1,71,277
1,72,254
1,73,204
1,74,191
1,75,203
1,76,208
1,77,191
1,78,175
1,79,190
1,80,191
1,81,190
1,82,186
1,83,166
1,84,140
1,85,128
1,86,123
1,87,119
1,88,120
1,89,103
1,90,97
1,91,97
1,92,89
1,93,74
1,94,75
1,95,100
1,96,75
1,97,80
1,98,91
1,99,81
1,100,92
1,101,88
1,102,77
1,103,103
1,104,91
1,105,92
1,106,57
1,107,22
1,108,23
1,109,2
1,110,1
1,111,2
1,112,1
1,113,0
2,0,6059
2,1,10195
2,2,9730
2,3,8475
2,4,7534
2,5,6590
2,6,5845
2,7,5224
2,8,4776
2,9,4241
2,10,3770
2,11,3353
2,12,3119
2,13,2907
2,14,2669
2,15,2356
2,16,2258
2,17,1991
2,18,1844
2,19,1612
2,20,1545
2,21,1472
2,22,1347
2,23,1252
2,24,1214
2,25,1155
2,26,1102
2,27,1050
2,28,984
2,29,961
2,30,891
2,31,882
2,32,806
2,33,743
2,34,718
2,35,707
2,36,718
2,37,635
2,38,613
2,39,544
2,40,551
2,41,544
2,42,554
2,43,545
2,44,514
2,45,460
2,46,434
2,47,408
2,48,413
2,49,410
2,50,351
2,51,329
2,52,316
2,53,302
2,54,284
2,55,258
2,56,223
2,57,222
2,58,220
2,59,198
2,60,216
2,61,221
2,62,200
2,63,206
2,64,223
2,65,216
2,66,236
2,67,258
2,68,233
2,69,203
2,70,186
2,71,216
2,72,226
2,73,207
2,74,216
2,75,212
2,76,195
2,77,226
2,78,201
2,79,195
2,80,185
2,81,162
2,82,178
2,83,157
2,84,160
2,85,177
2,86,181
2,87,177
2,88,160
2,89,173
2,90,184
2,91,168
2,92,183
2,93,199
2,94,169
2,95,177
2,96,185
2,97,188
2,98,174
2,99,211
2,100,179
2,101,187
2,102,170
2,103,136
2,104,125
2,105,143
2,106,101
2,107,20
2,108,10
2,109,2
2,110,1
2,111,0
3,0,6059
3,1,10166
3,2,9765
3,3,8875
3,4,7700
3,5,6945
3,6,6208
3,7,5479
3,8,4934
3,9,4406
3,10,3936
3,11,3514
3,12,3179
3,13,2946
3,14,2578
3,15,2347
3,16,2200
3,17,2072
3,18,1903
3,19,1736
3,20,1621
3,21,1533
3,22,1407
3,23,1320
3,24,1217
3,25,1176
3,26,1091
3,27,987
3,28,912
3,29,859
3,30,838
3,31,824
3,32,802
3,33,718
3,34,654
3,35,610
3,36,589
3,37,549
3,38,525
3,39,496
3,40,448
3,41,431
3,42,401
3,43,360
3,44,352
3,45,288
3,46,312
3,47,298
3,48,281
3,49,273
3,50,261
3,51,246
3,52,226
3,53,211
3,54,221
3,55,227
3,56,211
3,57,183
3,58,202
3,59,222
3,60,228
3,61,222
3,62,180
3,63,167
3,64,169
3,65,159
3,66,140
3,67,137
3,68,132
3,69,116
3,70,102
3,71,71
3,72,86
3,73,88
3,74,87
3,75,76
3,76,74
3,77,69
3,78,76
3,79,82
3,80,87
3,81,75
3,82,70
3,83,78
3,84,67
3,85,67
3,86,81
3,87,66
3,88,69
3,89,61
3,90,68
3,91,67
3,92,59
3,93,63
3,94,53
3,95,47
3,96,66
3,97,73
3,98,63
3,99,72
3,100,88
3,101,98
3,102,97
3,103,95
3,104,127
3,105,94
3,106,43
3,107,5
3,108,3
3,109,0
4,0,6059
4,1,10382
4,2,10028
4,3,8711
4,4,7689
4,5,6540
4,6,5753
4,7,5128
4,8,4584
4,9,3901
4,10,3576
4,11,3256
4,12,2945
4,13,2741
4,14,2533
4,15,2335
4,16,2147
4,17,2034
4,18,1904
4,19,1820
4,20,1647
4,21,1575
4,22,1458
4,23,1380
4,24,1290
4,25,1174
4,26,1120
4,27,1032
4,28,1013
4,29,889
4,30,824
4,31,837
4,32,794
4,33,755
4,34,731
4,35,690
4,36,683
4,37,653
4,38,599
4,39,617
4,40,569
4,41,574
4,42,531
4,43,481
4,44,504
4,45,476
4,46,469
4,47,457
4,48,433
4,49,409
4,50,382
4,51,367
4,52,355
4,53,340
4,54,365
4,55,315
4,56,298
4,57,287
4,58,265
4,59,255
4,60,232
4,61,247
4,62,227
4,63,256
4,64,259
4,65,231
4,66,225
4,67,237
4,68,228
4,69,236
4,70,200
4,71,201
4,72,177
4,73,154
4,74,169
4,75,151
4,76,151
4,77,149
4,78,134
4,79,119
4,80,129
4,81,107
4,82,113
4,83,115
4,84,113
4,85,107
4,86,104
4,87,90
4,88,97
4,89,96
4,90,95
4,91,99
4,92,76
4,93,65
4,94,77
4,95,64
4,96,64
4,97,72
4,98,67
4,99,70
4,100,60
4,101,54
4,102,53
4,103,52
4,104,56
4,105,44
4,106,32
4,107,10
4,108,5
4,109,0
5,0,6059
5,1,10333
5,2,9607
5,3,8590
5,4,7576
5,5,6773
5,6,5877
5,7,5012
5,8,4475
5,9,3987
5,10,3667
5,11,3264
5,12,2892
5,13,2646
5,14,2385
5,15,2126
5,16,2068
5,17,2031
5,18,1863
5,19,1695
5,20,1582
5,21,1488
